NAME,MEDIA_TYPE,SOURCE,PUBLICATION_DATE,TAGS,MORE_INFO
Intro to Open Access,video,https://www.youtube.com/watch?v=_fme9wi0-yk,9-8-2017,Open Access; UKSG,UKSG volunteers discuss some of the issues around open access publishing.
"The State of Digital Preservation: A Snapshot of Triumphs, Gaps, and Open Research Questions",video,https://vimeo.com/308311561,12-7-2018,Digital Preservation; CNI; ITHAKA S+R,"Ensuring the long-term preservation of digital information for future users has been one of the key aspirations of the research library community. Ithaka S+R has been exploring the current state of digital preservation in order to identify research questions and areas for action. Based on interviews with 21 subject experts, we gathered perspectives on the successes, gaps, outstanding issues, and emerging needs in digital preservation. Although the conversations were open-ended, they were framed with questions to probe what seems to be working well now, new research workflows or cultural practices that require novel preservation strategies, and areas that need further attention and research. Our study shows areas of significant progress in the preservation landscape as the community has grown and has established important collaborations. However, the interviews revealed a number of concerns with the pace and nature of these developments and identified several issues that would benefit from further exploration. For this session, we plan to share what we have learned and gather feedback and additional perspectives, as we work to generate a research agenda for Ithaka S+R on digital preservation."
NCSU Libraries Digital and Data Science Skills Workshops: Building Capacity and Meeting Campus Needs,video,https://vimeo.com/276071101,3-13-2018,North Carolina State University; Data Visualization; Digital Initiatives,
Artificial Intelligence (AI) in the Library,video,https://vimeo.com/255388664,12-10-2017,Artificial Intelligence; Machine Learning; CNI; Yewno; University of Rhode Island; North Carolina State University,"This session will explore how artificial intelligence (AI) is used and how it is going to be deployed in the library, museum, and archives fields. The presentation will include an exploration of new AI opportunities using current and future projects, discussion of opening an interdisciplinary AI lab in a library (the first of its kind in the United States), and the description of how an AI-based framework is mimicking the way human brains absorb information and create dynamic knowledge."
Open Access Explained!,video,https://youtu.be/L5rVH1KGBCY,10-25-2012,Open Access; Scholarly Publishing,What is open access? Nick Shockey and Jonathan Eisen take us through the world of open access publishing and explain just what it's all about.
Should You Publish? by Open Textbook Network,video,https://youtu.be/Nzdr0hKLLX0,1-23-2019,Open Educational Resources,"Hosted by the Open Textbook Network, this is the first of a series of three webinars on building an open textbook publishing program. In this video is John Warren, Director and Associate Professor, Masters of Professional Studies in Publishing at George Washington University."
Software Carpentry in the Library: Partnering to Give Researchers Needed Technical Skills,video,https://vimeo.com/220344798,3-29-2017,Software Development; University of Oklahoma,"Basic programming and data management skills have become invaluable for creating reproducible research; however, this training is rarely included in graduate curriculum. Major grant-funded projects may be able to hire someone to provide these services, but the majority cannot. Recognizing this need, the University of Oklahoma Libraries has partnered with Software Carpentry, a non-profit foundation that offers two-day, hands-on workshops on basic programming skills designed to help researchers automate and track their research processes. The University Libraries has offered 12 local workshops since 2014 with over 300 faculty, graduate students, and staff from over 30 departments and research groups participating. We offer the workshops multiple times each semester — one before the semester starts, one during the middle of the semester, and one at the end of the semester. We have found that offering the mid-semester workshop during the week of Thanksgiving or Spring Break increases attendance since participants are more likely to be able to have two full days available. Each workshop is taught by library staff including experts in data management, informatics, and digital scholarship. By having library staff teach and attend the workshops, our team has gained a better understanding of our local researchers’ needs. The sessions also allow researchers to connect and develop relationships with specialists in the library, who can guide them through more advanced data and programming issues. Developing these relationships has helped to position the University Libraries as a nucleus for research on campus. During this briefing, attendees will learn best practices that have resulted from our experiences in planning and implementing such a program."
"Migrating Library Collections and Operations to Linked Data: Assessment, Planning and Experimentation",video,https://vimeo.com/200853878,12-13-2016,Linked Data; Collection Development; Assessment; University of California at Davis,
Building the Better eBook and Beyond,video,https://vimeo.com/203016568,11-30-2016,eBooks; Columbia University; Emory University; University of Michigan,"This session brings together several initiatives that are exploring the evolution of the monograph: (1) JSTOR Labs, an experimental platform development group, convened at Columbia University by a group of scholars, librarians, and publishers in October 2016. Together, they tackled this design question: if we applied data visualization and design thinking techniques to the existing corpus of digitized monograph files, how could we improve the discovery and user experience for scholars, students, and general readers? The first presentation will discuss the design principles and challenges that the expert group identified, demonstrate the working prototype created during a “flash build” at Columbia in November by JSTOR Labs, and explain how CNI attendees and others can take advantage of this openly available development. The lean, user-oriented product design process used for this project will also be outlined; a design process that any library or publisher can take advantage of for their own technology and innovation projects. (2) Emory University and the University of Michigan are working together on interrelated projects supported by The Andrew W. Mellon Foundation that explore how publishers can best support and sustain digital scholarship. Emory is leading a project to create a “Model Contract for Digital Scholarship” that can be used to set out roles and responsibilities around the selection, production, marketing, and preservation of a publication that takes full advantage of digital affordances, including open access. Michigan is developing a publishing platform optimized for digital scholarship, Fulcrum, built on the Hydra/Fedora framework. To ground the conversation, a concrete example of one new work of digital scholarship published by University of Michigan Press will be presented (“A Mid-Republican House from Gabii”). This is a multimodal work that cannot be presented in print and involves integrated narrative, datasets, and 3D models."
DRASTIC Measures: Digital Repository at Scale that Invites Computation (To Improve Collections),video,https://vimeo.com/206243022,11-29-2016,Digital Repositories; University of Maryland,"DRASTIC (digital repository at scale that invites computation), is an open source digital repository platform for creating horizontally scaling archives that serve the national library, archives, and scientific data management communities. Through the emerging DRASTIC community project we intend to provide a credible solution for Big Data management in large organizations in the cultural heritage, business, and scientific research communities. DRASTIC was developed by Archives Analytics Solutions ltd., in collaboration with the University of Maryland’s Digital Curation Innovation Center (DCIC) in the College of Information Studies as the result of a $10.5 M National Science Foundation grant. The software is based on the most widely used distributed database, Apache Cassandra, created to meet the scaling needs of companies like Facebook. DRASTIC supports integration by providing a standard RESTful Cloud Data Management Interface (CDMI), a command-line interface, web interface, and messaging as contents are changed (MQTT). We will introduce the project, show participants how we use it today, and explain our plans to enhance archival data, perform computational analyses, and integrate with other archival platforms."
